;Wszystkie;;Montaż;;Spawanie;;Szlifowanie;;Pozostałe;
No;technol;wykonane;technol;wykonane;technol;wykonane;technol;wykonane;technol;wykonane
243;243,2;288;94;82;76;87;22;30;51,2;89
244;383,6;445,5;134;130;124;138,5;36;57;89,6;120
245;383,6;438,5;134;124;124;136;36;60,5;89,6;118
246;410;484;136;138;196;225;56;68;22;53
247;394;446,5;126;122;190;186;56;72;22;66,5
248;201,24;254,5;62;74;70;56,5;16;24;53,24;100
249;89,65;101;33;32;31;35,5;16;16;9,65;17,5
250;408,6;476,5;160;154;164;164;44;60;40,6;98,5
251;408,6;474;160;148;164;163;44;57;40,6;106
252;262;295,5;96;92;92;84;36;46;38;73,5
253;414,6;506,5;176;172;174;186,5;36;69;28,6;79
254;361,6;395;140;107;112;125;32;53;77,6;110
255;118,31;128,5;41;42;45;43,5;16;13;16,31;30
256;383,6;445,5;134;125;124;141;36;56;89,6;123,5
257;586,2;705,5;224;226;212;218;64;101,5;86,2;160
258;529;604,5;174;181;244;249;76;89;35;85,5
259;350,6;450,5;136;132;160;148,5;32;51,5;22,6;118,5
260;81,1;108,5;23;25;22;30,5;8;12;28,1;41
261;268;283;94;90;106;97;40;48;28;48
262;268;276;94;83;106;109;40;47;28;37
263;355,6;395,5;134;108,5;112;129;32;54;77,6;104
264;355,8;455;135;123,5;114;145,5;33;69;73,8;117
265;557,4;673;220;197,5;182;218;64;98;91,4;159,5
266;1306,7;1844,5;476;633;486;675,5;144;188;200,7;348
267;1309,2;1932,5;476;618,5;486;702;144;173;203,2;439
268;1325,2;1791,5;476;615;486;650;144;174;219,2;352,5
269;124,1;119,5;46;34;44;45;11;16,5;23,1;24
270;312;376,5;126;112,5;120;142;32;42;34;80
271;168;185;61;52,5;66;80;20;26;21;26,5
272;393,6;421;156;133;128;124,5;36;58;73,6;105,5
273;308;380,5;102;103;132;166;36;54,5;38;57
274;156;198,5;56;54;68;74;18;27;14;43,5
275;177;239;64;67;70;94;30;39,5;13;38,5
276;165;208,5;58;60;76;86,5;18;25,5;13;36,5
277;203,4;203;62;61;70;48,5;24;32;47,4;61,5
278;243,35;457;63,5;119,5;61,25;79;20;42;98,6;216,5
